antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'GESTACAO_3.0', 'PESO_2.0', 'CONSULTAS_4.0'})","frozenset({'PARTO_2.0', 'APGAR5_3.0'})",0.6281386130091953,0.9809447757125984,0.621119022230298,0.9888247742878458,1.0080330705360279,1.0,0.00494973137557031,1.7051310441700538,0.021430174891618498,0.6286856523338431,0.4135348110521707,0.8110046345408732
"frozenset({'PARTO_2.0', 'GESTACAO_3.0', 'PESO_2.0', 'CONSULTAS_4.0'})",frozenset({'APGAR5_3.0'}),0.6281386130091953,0.9809447757125984,0.621119022230298,0.9888247742878458,1.0080330705360279,1.0,0.00494973137557031,1.7051310441700538,0.021430174891618498,0.6286856523338431,0.4135348110521707,0.8110046345408732
"frozenset({'GESTACAO_3.0', 'CONSULTAS_4.0', 'PESO_2.0'})",frozenset({'APGAR5_3.0'}),0.6281386130091953,0.9809447757125984,0.621119022230298,0.9888247742878458,1.0080330705360279,1.0,0.00494973137557031,1.7051310441700538,0.021430174891618498,0.6286856523338431,0.4135348110521707,0.8110046345408732
"frozenset({'ESTCIVMAE_5.0', 'GESTACAO_3.0', 'PESO_2.0', 'PARTO_2.0'})",frozenset({'APGAR5_3.0'}),0.7061909156549306,0.9809447757125984,0.698152814769831,0.9886176659782646,1.0078219390689882,1.0,0.005418525402430596,1.6741051748274356,0.026415899320500605,0.7059301341714009,0.4026659644588467,0.8501661819732605
"frozenset({'GESTACAO_3.0', 'ESTCIVMAE_5.0', 'PESO_2.0'})",frozenset({'APGAR5_3.0'}),0.7061909156549306,0.9809447757125984,0.698152814769831,0.9886176659782646,1.0078219390689882,1.0,0.005418525402430596,1.6741051748274356,0.026415899320500605,0.7059301341714009,0.4026659644588467,0.8501661819732605
"frozenset({'ESTCIVMAE_5.0', 'GESTACAO_3.0', 'PESO_2.0'})","frozenset({'PARTO_2.0', 'APGAR5_3.0'})",0.7061909156549306,0.9809447757125984,0.698152814769831,0.9886176659782646,1.0078219390689882,1.0,0.005418525402430596,1.6741051748274356,0.026415899320500605,0.7059301341714009,0.4026659644588467,0.8501661819732605
"frozenset({'GESTACAO_3.0', 'PESO_2.0'})","frozenset({'PARTO_2.0', 'APGAR5_3.0'})",0.7678322948993205,0.9809447757125984,0.7590864968512258,0.9886097548824233,1.00781387429711,1.0,0.005885418546322074,1.6729424249173348,0.03339521770287421,0.7669937624714334,0.4022507976929254,0.8812208974076743
"frozenset({'GESTACAO_3.0', 'PESO_2.0', 'PARTO_2.0'})",frozenset({'APGAR5_3.0'}),0.7678322948993205,0.9809447757125984,0.7590864968512258,0.9886097548824233,1.00781387429711,1.0,0.005885418546322074,1.6729424249173348,0.03339521770287421,0.7669937624714334,0.4022507976929254,0.8812208974076743
"frozenset({'GESTACAO_3.0', 'PESO_2.0'})",frozenset({'APGAR5_3.0'}),0.7678322948993205,0.9809447757125984,0.7590864968512258,0.9886097548824233,1.00781387429711,1.0,0.005885418546322074,1.6729424249173348,0.03339521770287421,0.7669937624714334,0.4022507976929254,0.8812208974076743
"frozenset({'GESTACAO_3.0', 'CONSULTAS_4.0', 'PARTO_2.0', 'MESPRENAT_1.0'})",frozenset({'APGAR5_3.0'}),0.6402555360566923,0.9809447757125984,0.6327338628310756,0.9882520762382745,1.0074492476096504,1.0,0.004678539615194155,1.6220078265644784,0.020553941401889982,0.6401166812598867,0.3834801635217339,0.8166385171582513
"frozenset({'GESTACAO_3.0', 'CONSULTAS_4.0', 'MESPRENAT_1.0'})","frozenset({'PARTO_2.0', 'APGAR5_3.0'})",0.6402555360566923,0.9809447757125984,0.6327338628310756,0.9882520762382745,1.0074492476096504,1.0,0.004678539615194155,1.6220078265644784,0.020553941401889982,0.6401166812598867,0.3834801635217339,0.8166385171582513
"frozenset({'GESTACAO_3.0', 'CONSULTAS_4.0', 'MESPRENAT_1.0'})",frozenset({'APGAR5_3.0'}),0.6402555360566923,0.9809447757125984,0.6327338628310756,0.9882520762382745,1.0074492476096504,1.0,0.004678539615194155,1.6220078265644784,0.020553941401889982,0.6401166812598867,0.3834801635217339,0.8166385171582513
"frozenset({'GESTACAO_3.0', 'ESTCIVMAE_5.0', 'MESPRENAT_1.0'})",frozenset({'APGAR5_3.0'}),0.6799487397730587,0.9809447757125984,0.6719058571503713,0.9881713397610359,1.0073669427957224,1.0,0.0049136931176243515,1.61093681807115,0.022849676761386134,0.6793875044723585,0.3792431901846115,0.8365646115020131
"frozenset({'GESTACAO_3.0', 'ESTCIVMAE_5.0', 'PARTO_2.0', 'MESPRENAT_1.0'})",frozenset({'APGAR5_3.0'}),0.6799487397730587,0.9809447757125984,0.6719058571503713,0.9881713397610359,1.0073669427957224,1.0,0.0049136931176243515,1.61093681807115,0.022849676761386134,0.6793875044723585,0.3792431901846115,0.8365646115020131
